#Software: 1.4.5-unstable-66-4e44b43 (commit 4e44b43)
#Command: breakdancer-max Breakdancer/breakdancer.conf 
#Library Statistics:
#../Processed_bams/GRL1691.rgadded.mkdup.bam	mean:483.58	std:130.14	uppercutoff:1086.61	lowercutoff:39.76	readlen:244.09	library:GRL1691	reflen:12156129	seqcov:62.809	phycov:62.2171	1:923	2:1517	3:239	4:14120	8:870	32:24492
#../Processed_bams/GRL1693.rgadded.mkdup.bam	mean:522.63	std:144.95	uppercutoff:1212.44	lowercutoff:42.42	readlen:244.75	library:GRL1693	reflen:12156129	seqcov:74.0056	phycov:79.0144	1:914	2:1269	3:338	4:12019	8:789	32:18461
#../Processed_bams/GRL1694.rgadded.mkdup.bam	mean:504.14	std:145.22	uppercutoff:1198.9	lowercutoff:26.7	readlen:244.25	library:GRL1694	reflen:12156129	seqcov:73.2896	phycov:75.6361	1:1240	2:1566	3:98	4:16555	8:1236	32:29063
#Chr1	Pos1	Orientation1	Chr2	Pos2	Orientation2	Type	Size	Score	num_Reads	num_Reads_lib	GRL1691.rgadded.mkdup.bam	GRL1693.rgadded.mkdup.bam	GRL1694.rgadded.mkdup.bam
XII	1	56+269-	XII	130	56+269-	ITX	-351	99	15	../Processed_bams/GRL1691.rgadded.mkdup.bam|6:../Processed_bams/GRL1693.rgadded.mkdup.bam|4:../Processed_bams/GRL1694.rgadded.mkdup.bam|5	NA	NA	NA
XII	228550	3+4-	XII	228715	3+4-	ITX	-429	37	2	../Processed_bams/GRL1691.rgadded.mkdup.bam|1:../Processed_bams/GRL1693.rgadded.mkdup.bam|1	NA	NA	NA
II	165870	2+2-	XII	460786	940+731-	ITX	-343	99	67	../Processed_bams/GRL1691.rgadded.mkdup.bam|18:../Processed_bams/GRL1693.rgadded.mkdup.bam|21:../Processed_bams/GRL1694.rgadded.mkdup.bam|28	52.69	53.58	53.02
XII	732412	35+12-	XII	734679	2+34-	DEL	2456	99	31	../Processed_bams/GRL1691.rgadded.mkdup.bam|31	NA	1.77	1.85
XII	460784	940+731-	XII	847884	0+2-	INV	387087	51	2	../Processed_bams/GRL1691.rgadded.mkdup.bam|1:../Processed_bams/GRL1693.rgadded.mkdup.bam|1	1.73	1.57	1.71
VI	7109	3+0-	XIV	8922	2+3-	CTX	-493	34	2	../Processed_bams/GRL1691.rgadded.mkdup.bam|1:../Processed_bams/GRL1694.rgadded.mkdup.bam|1
XIII	908139	3+20-	XIII	908758	47+30-	ITX	-384	99	38	../Processed_bams/GRL1691.rgadded.mkdup.bam|14:../Processed_bams/GRL1693.rgadded.mkdup.bam|11:../Processed_bams/GRL1694.rgadded.mkdup.bam|13	0.13	0.19	0.19
XIV	274140	5+3-	XIV	274285	5+3-	ITX	-299	33	2	../Processed_bams/GRL1693.rgadded.mkdup.bam|2	NA	NA	NA
XIV	704335	7+3-	XIV	704473	7+3-	ITX	-282	40	2	../Processed_bams/GRL1691.rgadded.mkdup.bam|1:../Processed_bams/GRL1693.rgadded.mkdup.bam|1	NA	NA	NA
IX	22998	24+0-	XV	28651	51+31-	CTX	-508	99	21	../Processed_bams/GRL1691.rgadded.mkdup.bam|4:../Processed_bams/GRL1693.rgadded.mkdup.bam|10:../Processed_bams/GRL1694.rgadded.mkdup.bam|7
IX	24117	5+58-	XV	28651	51+31-	CTX	-502	99	45	../Processed_bams/GRL1691.rgadded.mkdup.bam|15:../Processed_bams/GRL1693.rgadded.mkdup.bam|13:../Processed_bams/GRL1694.rgadded.mkdup.bam|17
III	82922	53+4-	XV	117835	7+20-	CTX	-510	38	5	../Processed_bams/GRL1691.rgadded.mkdup.bam|1:../Processed_bams/GRL1693.rgadded.mkdup.bam|3:../Processed_bams/GRL1694.rgadded.mkdup.bam|1
VI	148782	10+6-	XV	721628	1+6-	CTX	-503	66	5	../Processed_bams/GRL1694.rgadded.mkdup.bam|5
XVI	873645	3+2-	XVI	873743	3+2-	ITX	-282	43	2	../Processed_bams/GRL1691.rgadded.mkdup.bam|1:../Processed_bams/GRL1694.rgadded.mkdup.bam|1	NA	NA	NA
